star_rating,word,n
1,bad,1147
2,unit,1145
5,home,1143
4,nook,1141
5,protect,1139
5,extra,1137
5,inside,1136
5,job,1136
5,6,1133
3,fit,1129
1,purchased,1127
5,original,1127
3,car,1123
5,products,1121
5,pocket,1118
5,plastic,1116
1,recommend,1112
5,computer,1107
4,item,1106
5,super,1106
3,nice,1101
5,devices,1101
4,light,1094
5,durable,1093
5,adapter,1090
4,button,1082
5,couple,1079
1,broke,1078
4,gps,1076
2,quality,1073
4,1,1070
4,protector,1069
5,feature,1066
4,happy,1065
4,mp3,1064
1,worth,1063
5,seller,1060
4,bluetooth,1059
4,set,1044
5,sturdy,1044
4,play,1042
5,garmin,1041
5,mine,1038
2,bought,1036
1,power,1032
5,cool,1032
5,fm,1029
5,wire,1028
5,issues,1025
5,stand,1017
5,charged,1016
1,music,1014
5,clip,1010
5,protects,1010
4,color,1009
2,sound,1003
5,loved,1003
5,nano,1003
1,days,1002
5,black,999
5,features,997
4,lot,996
4,perfect,995
5,cost,993
5,port,992
5,replacement,986
4,plug,984
5,reading,984
1,usb,982
3,device,980
5,run,978
5,holds,977
1,seller,976
5,carry,972
3,player,962
5,skin,960
1,junk,952
4,easily,951
1,5,947
4,video,946
4,audio,945
5,colors,945
4,purchased,944
5,range,941
3,2,938
3,3,937
1,day,934
1,disappointed,934
3,cover,933
5,hear,931
5,blue,929
5,christmas,928
5,quick,925
1,4,921
5,control,920
3,fine,918
4,purchase,917
5,bad,917
5,satisfied,913
1,company,912
1,piece,911
2,2,911
5,instructions,909
5,cd,908
4,charging,907
5,absolutely,904
1,price,902
1,months,900
2,phone,897
4,size,895
5,recommended,895
5,issue,894
5,batteries,893
2,fit,890
4,card,888
5,headphones,887
5,watch,885
1,camera,880
5,company,880
5,reader,877
1,pay,876
3,music,875
3,pretty,875
4,hold,874
5,clean,874
1,purchase,871
5,included,870
5,charges,869
5,connect,868
5,picture,866
1,stopped,865
5,friends,865
5,store,860
3,charge,854
4,perfectly,854
3,buy,849
1,touch,848
5,glad,848
5,brand,847
5,expensive,847
5,key,847
4,buttons,846
5,mini,843
4,found,842
5,customer,842
4,worth,840
5,8,840
5,cute,837
5,package,835
4,plastic,833
1,gps,830
4,makes,830
4,issue,826
1,plug,819
5,change,819
1,play,818
1,plastic,815
5,impressed,814
1,box,813
4,cord,813
5,tv,813
1,refund,811
5,real,811
1,plugged,810
5,replace,810
3,cable,809
1,charging,806
5,son,803
3,power,802
5,head,802
5,ago,801
5,covers,801
1,weeks,797
1,poor,792
2,battery,790
3,hard,790
1,mp3,785
5,7,785
5,dash,785
5,solid,785
5,week,785
5,extremely,779
5,sd,777
5,house,776
5,plugged,776
4,job,774
2,car,773
5,antenna,772
2,buy,770
3,uv,768
5,type,767
5,pack,766
5,sony,762
5,advertised,761
1,week,759
4,cheap,758
5,drive,755
5,feels,754
1,fine,753
5,bottom,753
4,read,751
5,model,751
5,red,751
1,hard,750
5,100,750
5,laptop,750
5,shipped,749
5,software,749
3,easy,747
5,pair,747
5,compact,745
5,transmitter,745
4,system,743
5,left,743
5,line,742
5,night,739
5,decided,738
2,charge,735
4,money,734
4,bad,733
2,player,730
5,bag,730
5,listening,730
1,reviews,728
4,remote,728
5,wrong,727
5,30,726
2,item,725
5,wife,725
1,read,723
5,minutes,719
5,12,717
5,hands,717
5,kit,717
5,remove,715
5,hand,713
5,nicely,711
5,beat,710
5,delivery,709
5,travel,706
1,instructions,705
3,charger,705
3,usb,704
4,front,704
5,add,704
5,start,704
4,fm,701
5,dock,697
1,cord,696
3,speaker,696
5,20,696
5,keyboard,695
3,bit,693
4,feel,693
1,times,692
4,times,692
3,34,688
5,easier,688
4,adapter,685
2,cable,684
5,band,684
4,box,683
1,apple,681
5,vehicle,681
4,expected,676
1,cover,673
5,jack,671
5,wonderful,670
2,device,667
4,install,667
5,kids,666
1,returned,665
1,speaker,665
2,radio,665
5,installation,665
5,micro,663
1,light,662
3,camera,662
5,update,662
1,card,661
5,weeks,661
4,received,660
1,button,659
5,factory,657
1,send,656
3,iphone,655
5,handy,655
2,iphone,654
4,kindle,653
5,strong,653
5,switch,653
5,playing,650
4,mount,649
5,bright,649
5,husband,648
1,month,646
1,shipping,646
4,day,645
5,takes,645
4,top,642
5,surprised,642
5,items,640
5,dropped,638
5,wall,638
2,charger,637
4,10,637
3,cheap,636
5,cut,634
5,soft,633
1,video,631
4,deal,631
3,item,630
5,short,630
5,expect,627
5,piece,626
5,access,624
3,volume,623
4,review,623
4,amazon,621
5,book,621
5,display,621
3,bad,615
4,excellent,615
3,1,613
5,looked,612
5,rubber,610
1,hold,609
2,34,608
5,fantastic,608
5,weight,608
3,plastic,607
4,amp,607
3,4,606
4,instructions,606
4,protection,606
5,completely,605
5,hd,605
1,protector,604
5,finally,602
4,clip,601
5,connection,600
4,bass,599
4,reason,599
5,subs,599
4,software,598
5,connected,598
5,stars,598
5,experience,596
5,alpine,594
5,truck,594
1,customer,592
1,review,590
5,heavy,590
5,water,590
5,note,589
5,armband,588
5,books,588
2,power,587
5,lights,587
1,support,586
5,generation,586
5,wires,586
5,comfortable,585
1,computer,583
5,friend,583
1,10,581
5,controls,581
1,service,580
1,set,580
5,purse,579
3,button,577
4,cd,574
5,driving,574
5,cheaper,573
5,arm,570
4,days,568
4,shipping,568
5,secure,568
5,stays,568
5,connector,567
1,useless,566
2,cheap,566
5,close,566
5,simply,566
5,space,566
4,feature,565
3,play,563
2,music,562
3,touch,562
5,month,562
1,buying,561
4,design,561
3,plug,560
4,loud,560
4,stereo,559
3,card,558
4,couple,558
4,protect,558
5,half,558
4,fast,557
4,simple,556
4,low,553
5,leave,553
4,reviews,552
5,phones,552
2,price,551
3,mp3,551
4,computer,550
4,features,550
5,call,549
5,songs,549
5,paid,548
4,wire,547
3,light,546
1,replacement,545
3,gps,545
3,purchased,545
4,sd,545
4,months,544
5,cell,544
5,worry,542
4,control,541
4,listen,541
5,protective,541
4,hours,540
5,signal,540
1,volume,539
3,protector,539
5,output,539
4,sounds,538
4,life,537
1,completely,536
5,pay,536
2,fine,534
3,hold,534
2,cover,533
1,hours,532
3,video,532
4,bottom,532
5,manual,532
5,protected,532
5,version,531
3,lot,528
5,station,528
4,pocket,526
1,wrong,525
1,minutes,523
1,stay,523
1,save,522
5,material,522
5,memory,522
4,black,521
2,3,520
4,files,520
5,due,520
5,similar,520
4,inside,519
5,tight,519
1,adapter,518
5,aux,516
4,free,515
1,found,514
1,software,514
5,beautiful,514
2,money,513
3,5,512
4,devices,512
5,compared,512
5,holding,512
5,road,512
5,warranty,512
4,quickly,511
5,rear,510
3,color,509
4,decent,509
5,enjoy,509
5,trip,509
5,function,508
1,started,507
4,included,507
4,difficult,505
4,installed,505
4,mine,505
5,ear,505
5,favorite,505
5,fun,504
4,left,503
5,holder,503
5,wear,499
1,buttons,498
4,people,498
1,cost,496
4,ipad,496
5,decent,496
5,headphone,496
5,inexpensive,496
5,check,495
1,nice,494
5,stuff,494
2,nice,493
2,plastic,492
5,strap,492
4,apple,491
4,built,490
5,online,489
5,receiver,489
1,broken,488
1,horrible,488
1,terrible,488
4,tablet,488
5,complaints,488
5,replaced,488
4,headphones,487
4,picture,487
4,port,486
5,protectors,486
5,option,485
5,silicone,485
3,easily,484
4,6,484
4,connect,484
5,files,484
5,single,484
5,stock,484
4,home,483
5,hope,483
2,1,482
4,issues,482
2,volume,481
5,expectations,481
5,bose,480
1,guess,478
5,added,478
1,nook,477
4,arrived,477
5,family,477
3,stars,476
5,support,476
5,owned,475
5,setup,475
5,15,474
5,dont,474
5,zune,474
2,bad,473
4,skin,473
5,belt,473
5,led,473
4,transmitter,472
5,chargers,471
5,difference,470
1,brand,469
1,products,469
1,picture,468
2,return,468
5,convenient,468
5,totally,468
4,stand,467
4,antenna,466
4,drive,466
4,pleased,466
5,mode,466
1,cd,465
2,hard,465
2,touch,465
5,external,464
3,set,463
4,manual,463
4,star,463
5,lost,463
4,extra,462
5,designed,462
5,white,462
5,noise,461
3,cord,460
1,arrived,459
1,connect,459
1,speakers,458
3,fits,458
3,nook,458
4,display,457
5,bulky,457
4,change,456
2,usb,455
5,hit,455
4,leather,454
5,heard,454
4,reading,453
2,months,452
5,dvd,450
5,gen,450
2,play,449
1,star,448
5,cords,448
5,options,448
5,started,448
1,audio,447
2,purchased,446
3,audio,446
3,buttons,446
4,update,446
5,snug,445
5,view,445
5,person,444
1,charged,443
1,properly,443
5,android,443
5,pink,443
1,description,442
1,system,442
5,drop,442
5,held,442
5,plenty,442
2,4,441
4,cost,441
5,videos,441
5,performance,440
5,units,440
5,level,439
3,speakers,438
4,blue,438
4,connection,437
5,cons,436
1,6,435
1,bluetooth,435
3,bluetooth,435
4,cons,435
4,original,435
5,disappointed,435
3,charging,434
5,voice,434
2,camera,432
3,mount,432
5,hooked,432
5,inch,432
5,ports,432
5,reasonable,432
5,test,432
1,couple,431
1,warranty,431
4,line,431
5,wireless,431
1,pretty,430
5,alarm,430
5,purchasing,430
5,condition,429
5,setting,429
1,fm,428
4,hear,428
5,break,428
5,length,428
5,plays,427
2,recommend,426
4,switch,426
5,helps,426
1,ipad,425
1,returning,425
2,plug,425
5,adjust,425
5,door,425
3,received,424
4,nano,424
5,hook,424
5,standard,424
5,tiny,424
5,input,423
5,live,423
5,reason,423
1,defective,422
1,original,422
5,accessories,422
5,air,421
5,broke,421
1,30,420
1,mount,420
4,running,420
5,amount,420
5,difficult,420
2,protector,418
5,taking,418
4,plugged,417
4,real,417
5,program,417
5,safe,417
4,reader,416
4,remove,416
5,bubbles,416
5,provided,416
2,gps,415
5,larger,415
1,remote,414
4,dash,414
5,keys,414
1,lot,413
1,low,413
3,found,413
4,cables,413
5,TRUE,413
5,windshield,413
5,feet,412
1,dont,411
1,start,411
2,broke,411
1,issue,410
1,package,410
2,pretty,410
3,day,410
4,garmin,410
5,functions,410
5,mind,410
5,plan,410
5,reception,410
3,worth,409
4,portable,409
4,run,409
5,market,409
5,smooth,409
5,style,409
2,speaker,408
4,expect,408
4,takes,407
5,pouch,407
5,radios,407
5,square,407
5,stations,407
5,base,406
5,handle,406
4,complaint,405
5,recording,405
5,user,405
5,windows,405
1,transmitter,404
4,key,404
4,mini,404
1,color,403
1,paid,403
1,worst,403
5,fire,403
5,hour,403
5,lots,402
3,5rax,401
5,apply,401
5,immediately,401
1,finally,400
1,kindle,400
3,months,400
5,huge,400
5,move,400
5,past,400
5,watts,400
1,garbage,399
3,box,399
4,range,399
5,outlet,399
5,recently,399
5,slightly,399
5,static,399
5,scratches,398
1,installed,397
3,recommend,397
4,controls,397
4,daughter,397
5,press,397
5,priced,397
4,charged,396
4,model,396
5,oem,396
5,settings,396
4,playing,395
5,digital,395
1,wall,394
2,received,394
5,tape,394
4,keyboard,393
4,short,393
4,sony,393
5,attached,393
4,cool,391
1,crap,390
3,days,390
5,choice,390
5,trade,390
4,sturdy,389
5,previous,389
5,wow,389
5,wait,388
1,manual,387
4,holds,387
5,powerful,386
5,samsung,386
5,saved,386
2,5,385
3,money,385
3,read,385
4,band,385
4,batteries,385
5,local,385
5,sleeve,385
1,cables,384
1,half,384
4,piece,384
1,update,383
2,mp3,382
4,start,382
5,cards,382
5,multiple,382
1,told,381
1,connection,380
4,mode,380
4,night,380
1,spend,378
3,love,378
4,books,378
4,cut,378
5,care,378
5,pioneer,378
1,makes,377
4,awesome,377
4,expensive,377
4,seller,377
5,save,377
5,securely,377
1,inside,376
1,people,376
4,advertised,376
4,replacement,376
5,figure,376
2,video,375
5,including,375
5,app,374
5,fall,374
5,future,374
2,disappointed,373
4,8,373
1,connector,372
5,glare,372
5,nike,372
1,hear,371
3,inside,371
5,mounted,371
3,times,370
3,top,370
4,close,370
5,directly,370
5,pros,370
5,thin,370
5,business,369
5,channel,369
5,push,369
5,speed,369
1,wire,368
3,job,368
4,head,368
4,jack,367
4,pros,367
5,50,367
5,spent,367
2,button,366
2,hold,366
5,electronics,366
5,supposed,366
1,ago,365
1,display,365
2,days,365
5,means,365
2,easy,364
3,size,363
5,deck,363
5,surface,363
1,real,362
4,figure,362
5,ease,362
5,paired,362
5,pc,362
5,players,362
4,micro,361
5,build,361
5,coming,361
5,thick,361
4,minutes,360
5,bucks,360
5,im,360
4,songs,359
3,issue,358
4,belt,358
4,store,358
4,package,357
5,dust,357
1,left,356
1,looked,356
1,reason,356
1,short,356
1,batteries,355
4,hand,355
4,station,355
5,metal,355
5,trouble,355
1,model,354
5,fairly,354
5,galaxy,354
1,mine,353
4,service,353
5,damage,353
1,garmin,352
2,charging,352
4,buying,352
5,calls,352
5,closed,352
5,idea,352
1,design,351
3,difficult,351
5,hot,351
5,magnetic,350
5,stick,350
1,easy,349
3,fm,349
5,spend,349
5,stores,349
2,day,348
4,dock,348
4,feels,348
5,glove,348
5,ready,348
5,slip,348
3,sd,347
4,add,347
4,replace,347
3,makes,346
4,arm,346
1,happy,345
2,amazon,345
5,seat,345
5,song,345
4,function,344
5,lighter,344
1,replace,343
4,connector,343
4,type,343
3,clip,342
3,remote,342
4,easier,342
4,installation,342
5,bonus,342
3,expected,341
4,gift,341
5,mic,341
5,wheel,341
1,key,340
2,light,340
5,snap,340
1,top,339
3,front,339
4,watch,339
5,carrying,339
5,fan,339
4,30,337
1,advertised,336
5,cam,336
5,delivered,336
5,movies,336
5,sensor,336
5,stay,336
5,subwoofer,336
4,durable,335
5,grip,335
4,quick,334
5,addition,334
5,entire,334
5,match,334
1,stop,333
3,bottom,333
4,driving,333
4,protects,333
5,cars,333
5,daily,333
5,headset,333
5,helpful,333
5,lasts,333
5,nuvi,333
1,antenna,332
3,decent,332
4,loves,332
5,packaging,332
5,watt,332
1,difficult,331
3,low,331
3,original,331
3,pay,331
4,carry,331
5,9,331
2,worth,330
3,picture,330
4,access,330
4,fairly,330
1,china,329
1,stars,329
5,stylus,329
3,instructions,328
5,pictures,328
2,weeks,327
4,pay,327
4,strap,327
5,suction,327
2,set,326
3,5ra,326
4,nicely,326
4,slightly,326
4,tight,326
1,bubbles,325
4,charges,325
4,note,325
4,satisfied,325
5,cup,325
5,mirror,325
1,install,324
4,armband,324
4,option,324
4,super,324
5,amps,324
5,purpose,324
5,stop,324
1,20,323
2,pay,323
4,bag,323
4,week,323
4,weeks,323
5,bigger,323
5,thinking,323
4,silicone,322
5,tested,322
3,purchase,321
4,clean,321
4,covers,321
5,ability,321
5,broken,321
5,receive,321
5,return,321
5,star,321
3,features,320
4,version,320
5,ac,320
5,date,320
5,wiring,320
1,size,319
2,bluetooth,319
4,listening,319
4,signal,319
5,putting,319
5,shower,319
5,trent,319
3,protection,318
3,software,318
5,40,318
5,boat,318
5,recharge,318
5,upgrade,318
4,press,317
4,solid,317
5,regular,317
1,items,316
3,review,316
5,record,316
1,total,315
2,stopped,315
4,due,315
4,tv,315
4,vehicle,315
5,hole,315
5,provide,315
3,broke,314
3,feel,314
3,update,314
4,memory,314
5,accurate,314
5,told,314
2,buttons,313
2,found,313
3,band,313
3,system,313
4,support,313
5,forward,313
5,frequency,313
5,additional,312
5,dollars,312
5,worried,312
5,amplifier,311
5,bundle,311
5,solution,311
4,cute,310
4,rubber,310
5,crisp,310
5,green,310
2,lot,309
3,design,309
4,bright,309
5,guess,309
5,matter,309
5,storage,309
1,called,308
1,contact,308
2,speakers,308
3,happy,308
4,recording,308
5,pick,308
5,slot,308
5,track,308
1,port,307
1,store,307
2,times,307
5,complaint,307
1,connected,306
5,download,306
1,sd,305
1,songs,305
2,read,305
3,reason,305
4,noise,305
4,red,305
5,angle,305
5,based,305
5,data,305
5,mounting,305
1,bit,304
1,static,304
3,control,304
5,stylish,304
1,sony,303
5,charm,303
5,slide,303
5,automatically,302
5,itouch,302
5,minor,302
3,computer,301
4,videos,301
5,lightweight,301
5,pull,301
1,fell,300
1,free,300
4,20,300
4,7,300
4,hd,300
5,affordable,300
5,figured,300
5,finish,300
5,trips,300
1,contacted,299
3,10,299
4,voice,299
5,zen,299
2,audio,298
5,purple,298
1,home,297
4,wall,297
5,sold,297
5,bike,296
5,flat,296
5,games,296
5,happier,296
5,loose,296
1,function,295
3,expect,295
4,wrong,295
5,alot,295
5,internet,295
5,position,295
1,clip,294
2,card,294
3,couple,294
5,pod,294
4,connected,293
4,menu,293
4,white,293
5,accessory,293
5,slim,293
5,window,293
1,idea,292
3,units,292
4,highly,292
4,products,292
5,actual,292
5,distortion,292
1,deal,291
2,stars,291
3,black,291
5,faster,291
5,flawlessly,291
5,plugs,291
4,paid,290
5,rms,290
1,expected,289
4,wires,289
5,2nd,289
5,class,289
5,properly,289
2,purchase,288
3,amazon,288
3,hours,288
5,clock,288
5,lower,288
5,opinion,288
3,short,287
4,month,287
4,road,287
5,choose,287
5,likes,287
5,smart,287
1,bottom,286
1,change,286
1,complete,286
3,kindle,286
4,material,286
1,control,285
1,failed,285
1,front,285
1,remove,285
1,supposed,285
3,adapter,285
5,directions,285
5,negative,285
5,played,285
2,box,284
4,view,284
5,called,284
5,noticed,284
1,feel,283
3,antenna,283
4,company,283
4,completely,283
4,input,283
5,dual,283
5,guy,283
5,navigation,283
5,reliable,283
1,lasted,282
1,water,282
2,nook,282
2,week,282
4,book,282
4,kit,282
5,clarity,282
5,construction,282
5,expecting,282
5,ipods,282
5,runs,282
5,tool,282
5,traveling,282
1,easily,281
1,stereo,281
3,5r,281
3,loud,281
3,transmitter,281
4,stations,281
5,capacity,281
5,keeping,281
1,expensive,280
1,experience,280
5,incredible,280
1,line,279
2,poor,279
4,decided,279
5,office,279
2,bit,278
2,cord,278
3,real,278
4,user,278
5,edge,278
5,mail,278
5,source,278
1,close,277
3,return,277
4,standard,277
5,search,277
1,playing,276
2,easily,276
4,annoying,276
4,headphone,276
4,laptop,276
5,lol,276
5,powered,276
1,dead,275
1,devices,275
4,scratches,275
5,attach,275
4,ear,274
4,minor,274
5,birthday,274
5,file,274
5,understand,274
5,website,274
1,impossible,273
3,guess,273
4,settings,273
5,cloth,273
5,description,273
5,normal,273
5,tab,273
5,youtube,273
1,generation,272
3,listen,272
3,stereo,272
4,half,272
5,4th,272
5,backup,272
5,chance,272
5,double,272
5,exact,272
5,sounding,272
5,waterproof,272
3,deal,271
5,pro,271
1,signal,270
4,12,270
4,output,270
4,song,270
4,strong,270
5,current,270
5,earlier,270
5,lose,270
5,remember,270
1,7,269
3,cd,269
5,center,269
2,guess,268
2,instructions,268
5,kenwood,268
5,shape,268
5,sleek,268
4,options,267
4,space,267
5,velcro,267
1,amp,266
1,cut,266
1,simply,266
3,left,266
4,pair,266
5,classic,266
5,table,266
5,unlike,266
1,receive,265
2,difficult,265
2,low,265
3,playing,265
4,items,265
5,complete,265
5,correct,265
5,flip,265
5,lasted,265
1,flimsy,264
3,disappointed,264
4,compact,264
5,packaged,264
5,site,264
1,extra,263
1,response,263
2,cd,263
4,android,263
4,holder,263
4,reception,263
5,main,263
5,protecting,263
2,plugged,262
3,protect,262
4,leave,262
4,water,262
5,desk,262
5,flexible,262
5,lightning,262
5,rate,262
5,research,262
1,8,261
2,remote,261
4,similar,261
4,units,261
1,station,260
4,customer,260
5,appears,260
5,holes,260
1,black,259
1,cheaply,259
1,expect,259
1,files,259
3,mine,259
3,model,259
3,radios,259
4,handy,259
5,operate,259
1,christmas,258
3,feature,258
4,protectors,258
4,stick,258
1,extremely,257
1,nano,257
4,broke,257
4,functions,257
4,larger,257
5,amazed,257
3,extra,256
4,bubbles,256
4,lights,256
5,notice,256
1,gift,255
1,hour,255
1,website,255
3,display,255
3,stay,255
4,finally,255
4,tape,255
5,brands,255
5,functional,255
5,skeptical,255
5,stated,255
1,died,254
1,email,254
3,6,254
3,headphones,254
3,standard,254
4,dropped,254
5,4s,254
5,compatible,254
5,interface,254
5,promised,254
3,apple,253
3,night,253
4,file,253
4,inexpensive,253
1,decided,252
1,figure,252
3,shipping,252
4,call,252
4,tiny,252
4,windows,252
1,call,251
2,couple,251
2,design,251
3,connection,251
4,aux,251
4,colors,251
5,installing,251
5,send,251
1,compatible,250
1,fits,250
1,matter,250
4,soft,250
5,25,250
1,beware,249
1,issues,249
1,totally,249
2,front,249
3,seller,249
5,scratch,249
5,straight,249
1,headphones,248
1,poorly,248
3,bass,248
5,attractive,248
5,distance,248
5,equipment,248
5,everyday,248
5,flash,248
5,microphone,248
1,night,247
1,reader,247
1,stuck,247
3,ipad,247
4,loose,247
4,setting,247
5,dead,247
5,ground,247
5,kicker,247
1,luck,246
1,song,246
2,makes,246
2,started,246
3,piece,246
3,weeks,246
4,purpose,246
4,thin,246
5,electronic,246
5,lock,246
5,menu,246
5,outstanding,246
5,response,246
5,spot,246
5,wired,246
1,shipped,245
1,trash,245
2,adapter,245
2,ipad,245
3,included,245
3,installed,245
4,brand,245
4,break,245
5,impressive,245
5,rest,245
2,reason,244
3,manual,244
4,started,244
4,track,244
4,zune,244
5,bed,244
5,film,244
5,gym,244
5,highs,244
5,process,244
5,suggest,244
1,chinese,243
3,people,243
4,hands,243
4,hope,243
4,supposed,243
5,sync,243
3,buying,242
3,files,242
3,issues,242
4,amazing,242
4,loved,242
4,phones,242
5,gauge,242
5,honest,242
5,rock,242
5,shoes,242
1,lost,241
4,ago,241
4,pack,241
4,rear,241
5,chose,241
5,compliments,241
5,fix,241
5,mobile,241
5,prefer,241
5,rechargeable,241
1,immediately,240
4,drop,240
5,offers,240
1,manufacturer,239
3,sounds,239
4,mind,239
4,push,239
4,snug,239
5,functionality,239
5,ran,239
5,talk,239
1,blue,238
1,included,238
3,songs,238
4,lighter,238
4,windshield,238
5,3rd,238
5,load,238
5,tech,238
2,fm,237
2,kindle,237
3,cut,237
3,life,237
3,replacement,237
4,dvd,237
5,deep,237
5,media,237
4,secure,236
5,pop,236
1,error,235
3,change,235
5,application,235
5,cleaning,235
5,professional,235
1,dock,234
1,loose,234
1,stick,234
2,piece,234
3,station,234
3,wire,234
4,guess,234
4,kids,234
4,players,234
5,driver,234
5,separate,234
2,10,233
2,inside,233
3,blue,233
3,connect,233
3,reviews,233
3,song,233
5,email,233
5,information,233
5,pairing,233
1,15,232
4,15,232
4,generation,232
4,move,232
4,program,232
5,louder,232
5,monitor,232
5,systems,232
5,wide,232
1,tablet,231
2,issue,231
2,picture,231
2,seller,231
4,100,231
4,beat,231
4,comfortable,231
4,compared,231
4,hole,231
5,covered,231
5,guys,231
5,rating,231
5,scratched,231
1,fix,230
4,fall,230
4,heavy,230
5,crystal,230
5,giving,230
5,series,230
1,mail,229
2,top,229
3,hear,229
4,looked,229
5,flap,229
5,lcd,229
5,miles,229
1,fire,228
1,life,228
2,reviews,228
2,system,228
3,accessories,228
3,firmware,228
3,function,228
4,mounting,228
4,plays,228
5,careful,228
5,format,228
5,stopped,228
1,barely,227
1,daughter,227
1,thinking,227
2,returned,227
3,annoying,227
4,complaints,227
4,glare,227
4,receiver,227
4,static,227
4,stay,227
4,taking,227
5,promptly,227
5,watching,227
1,packaging,226
1,worthless,226
4,christmas,226
4,holding,226
4,house,226
4,position,226
4,surprised,226
5,auto,226
5,connects,226
5,ears,226
5,spare,226
5,supply,226
1,due,225
1,listen,225
1,message,225
1,reading,225
1,recording,225
2,color,225
4,download,225
4,mic,225
4,shipped,225
5,dark,225
5,finding,225
2,month,224
2,stay,224
3,perfect,224
3,start,224
4,adjust,224
4,led,224
4,live,224
5,3.5mm,224
5,basic,224
5,minute,224
5,surprise,224
5,surprisingly,224
5,technology,224
1,worse,223
2,apple,223
3,week,223
5,adjustable,223
5,bring,223
5,clips,223
5,follow,223
1,type,222
4,setup,222
5,anymore,222
1,quickly,221
1,spent,221
2,bottom,221
2,buying,221
2,clip,221
3,built,221
3,close,221
3,fast,221
3,started,221
4,glad,221
4,main,221
4,son,221
4,trouble,221
4,wheel,221
5,cassette,221
5,contacted,221
5,ereader,221
5,internal,221
2,left,220
3,plugged,220
4,factory,220
4,noticed,220
4,suction,220
5,pandora,220
5,total,220
1,mode,219
1,units,219
2,review,219
3,figure,219
3,wife,219
3,wrong,219
4,feet,219
4,properly,219
4,weight,219
5,accessible,219
5,pen,219
5,rated,219
1,hope,218
1,sucks,218
1,takes,218
2,fits,218
